
,Heat :,25002227,,,,,EAF Delays Report,,,,,
,Production date :,4/28/2025,,,,,,,,,,




Area,,,Operation,,Type,"Start Time
[hh:mi:ss]",,"Delay Time
[mi:ss]",Reason,,Note,
EAF,,,PREPARATION_TIME,,Temps Technique,5:37:00 AM,,02:11,Replissage de  l'E.B.T,, ,
EAF,,,CHARGE_TIME,,Temps Technique,5:39:12 AM,,01:17,Chargement panier 1,, ,
EAF,,,CHARGE_TIME,,Temps Technique,5:40:31 AM,,00:05,Chargement panier 1,, ,
EAF,,,CHARGE_TIME,,Temps Technique,5:53:07 AM,,01:16,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,5:54:26 AM,,00:27,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Ferraille,5:57:32 AM,,01:55,Tassage,, ,
EAF,,,MELTING_OFF_TIME,,Autres,5:59:29 AM,,00:07,Autres,, tap changer,
EAF,,,MELTING_OFF_TIME,,Autres,5:59:42 AM,,01:15,Autres,,  tap changer,
EAF,,,MELTING_OFF_TIME,,Autres,6:00:59 AM,,00:10,Autres,,  tap changer,
EAF,,,MELTING_OFF_TIME,,Temps Technique,6:16:10 AM,,00:33,Prise de temperature et /ou PPM,, ,
EAF,,,TAPPING_TIME,,Temps Technique,6:17:45 AM,,03:00,Fin de coulée \ Vidange four ,, ,
EAF,,,TAPPING_TIME,,Production,6:20:45 AM,,02:20,Débouchage de l'E.B.T,, ,

,Heat :,25002228,,,,,EAF Delays Report,,,,,
,Production date :,4/28/2025,,,,,,,,,,




Area,,,Operation,,Type,"Start Time
[hh:mi:ss]",,"Delay Time
[mi:ss]",Reason,,Note,
EAF,,,PREPARATION_TIME,,Temps Technique,6:23:09 AM,,01:24,Replissage de  l'E.B.T,, ,
EAF,,,CHARGE_TIME,,Temps Technique,6:24:33 AM,,01:27,Chargement panier 1,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,6:26:00 AM,,00:10,Chargement panier 1,, ,
EAF,,,CHARGE_TIME,,Temps Technique,6:38:28 AM,,01:15,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,6:39:43 AM,,00:07,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,6:54:43 AM,,00:30,Prise de temperature et /ou PPM,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,6:55:28 AM,,00:25,Prise de temperature et /ou PPM,, ,
EAF,,,MELTING_OFF_TIME,,Maintenance Hydraulique,6:58:28 AM,,00:28,Probleme Maintenance Hydraulique EAF,,  fuit hydraulique unlock EBT,
EAF,,,MELTING_OFF_TIME,,Maintenance Hydraulique,6:58:58 AM,,00:10,Probleme Maintenance Hydraulique EAF,,  fuit hydraulique unlock EBT,
EAF,,,MELTING_OFF_TIME,,Maintenance Hydraulique,7:00:15 AM,,08:38,Probleme Maintenance Hydraulique EAF,, fuit hydraulique unlock EBT,
EAF,,,TAPPING_TIME,,Temps Technique,7:08:53 AM,,03:25,Fin de coulée \ Vidange four ,, ,

,Heat :,25002229,,,,,EAF Delays Report,,,,,
,Production date :,4/28/2025,,,,,,,,,,




Area,,,Operation,,Type,"Start Time
[hh:mi:ss]",,"Delay Time
[mi:ss]",Reason,,Note,
EAF,,,PREPARATION_TIME,,Temps Technique,7:12:24 AM,,01:37,Replissage de  l'E.B.T,, ,
EAF,,,CHARGE_TIME,,Temps Technique,7:14:01 AM,,01:17,Chargement panier 1,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,7:15:21 AM,,00:08,Chargement panier 1,, ,
EAF,,,CHARGE_TIME,,Temps Technique,7:26:34 AM,,01:15,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,7:27:48 AM,,00:12,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,7:41:26 AM,,01:17,Prise de temperature et /ou PPM,, ,
EAF,,,TAPPING_TIME,,Temps Technique,7:42:44 AM,,03:50,Fin de coulée \ Vidange four ,, ,

,Heat :,25002230,,,,,EAF Delays Report,,,,,
,Production date :,4/28/2025,,,,,,,,,,




Area,,,Operation,,Type,"Start Time
[hh:mi:ss]",,"Delay Time
[mi:ss]",Reason,,Note,
EAF,,,PREPARATION_TIME,,Temps Technique,7:46:38 AM,,01:11,Replissage de  l'E.B.T,, ,
EAF,,,CHARGE_TIME,,Temps Technique,7:47:49 AM,,01:12,Chargement panier 1,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,7:49:04 AM,,00:08,Chargement panier 1,, ,
EAF,,,CHARGE_TIME,,Temps Technique,8:01:49 AM,,01:14,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,8:03:06 AM,,00:10,Chargement panier 2,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,8:17:19 AM,,00:25,Prise de temperature et /ou PPM,, ,
EAF,,,TAPPING_TIME,,Temps Technique,8:19:19 AM,,04:12,Fin de coulée \ Vidange four ,, ,

,Heat :,25002231,,,,,EAF Delays Report,,,,,
,Production date :,4/28/2025,,,,,,,,,,




Area,,,Operation,,Type,"Start Time
[hh:mi:ss]",,"Delay Time
[mi:ss]",Reason,,Note,
EAF,,,PREPARATION_TIME,,Temps Technique,8:23:36 AM,,01:51,Replissage de  l'E.B.T,, ,
EAF,,,CHARGE_TIME,,Temps Technique,8:25:28 AM,,01:19,Chargement panier 1,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,8:26:47 AM,,00:08,Chargement panier 1,, ,
EAF,,,MELTING_OFF_TIME,,Temps Technique,8:39:35 AM,,00:02,Chargement panier 2,, ,
